id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	16	16	30	14	0	14	0	0
1	24	0	0	60	39	7	60	14	0
3	11	88	88	128	40	0	40	0	0
4	5	277	277	300	23	0	23	0	0
5	2	337	337	355	18	0	18	0	0
6	2	401	401	426	22	3	25	0	0
7	0	488	488	525	37	0	37	0	0
9	14	755	755	767	12	0	12	0	0
8	19	592	592	788	111	73	196	12	0
10	9	882	882	935	33	20	53	0	0
11	10	1253	1253	1286	28	5	33	0	0
12	4	1374	1374	1380	6	0	6	0	0
13	17	1567	1567	1639	63	9	72	0	0
14	8	1781	1781	1785	4	0	4	0	0
15	3	1956	1956	1962	6	0	6	0	0
16	1	2033	2033	2091	58	0	58	0	0
17	2	2199	2199	2264	54	11	65	0	0
18	0	2340	2340	2343	3	0	3	0	0
19	0	2562	2562	2575	13	0	13	0	0
20	9	2576	2576	2628	51	1	52	0	0
0	0	0	0	2628	1993	0	2628	635	0
