id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	32	6	26	32	0	0
2	0	110	110	148	29	9	38	0	0
3	0	433	433	434	1	0	1	0	0
4	0	469	469	509	32	8	40	0	0
5	0	640	640	673	11	22	33	0	0
6	0	880	880	901	21	0	21	0	0
7	0	982	982	1010	18	10	28	0	0
8	0	1103	1103	1112	9	0	9	0	0
10	0	1145	1145	1147	2	0	2	0	0
9	0	1131	1131	1185	22	32	54	0	0
11	0	1319	1319	1336	17	0	17	0	0
12	0	1609	1609	1610	1	0	1	0	0
13	0	1906	1906	2120	48	166	214	0	0
14	0	2130	2130	2331	79	122	201	0	0
15	0	2807	2807	2811	4	0	4	0	0
16	0	3026	3026	3042	16	0	16	0	0
17	0	3194	3194	3297	64	39	103	0	0
18	0	3305	3305	3313	8	0	8	0	0
19	0	3438	3438	3447	9	0	9	0	0
20	0	3692	3692	3743	39	12	51	0	0
0	0	0	0	3743	3307	0	3743	436	0
